Rank|Name|Affiliation|Country|H-Index|Citations|Specialty
796|George Davey Smith|University of Bristol|UK|1|409,117|Genetic Epidemiology
797|JoAnn E. Manson|Harvard Medical School|USA|1|401,469|Women’s Health
798|Albert Hofman|Harvard University|USA|1|466,300|Aging Epidemiology
799|Graham A. Colditz|Washington University|USA|1|379,230|Cancer Prevention
800|Mark J. Daly|Massachusetts General Hospital|USA|1|446,427|Human Genetics
801|Eric J. Nestler|Mount Sinai|USA|1|167,370|Molecular Psychiatry
802|Dennis J. Selkoe|Brigham & Women’s Hospital|USA|1|236,826|Alzheimer’s Research
803|Naveed Sattar|University of Glasgow|UK|1|203,262|Metabolic Medicine
804|William J. Sandborn|UC San Diego|USA|1|176,145|Gastroenterology
805|Stefan D. Anker|Charité Berlin|Germany|1|263,761|Heart Failure
806|Deepak L. Bhatt|Mount Sinai Hospital|USA|1|192,591|Cardiovascular Trials
807|Jens J. Holst|University of Copenhagen|Denmark|1|160,171|Incretin Hormones
808|Gregg C. Fonarow|UCLA|USA|1|199,463|Cardiology Outcomes
809|David Cella|Northwestern University|USA|1|165,527|Outcomes Research
810|Gordon J. Freeman|Harvard University|USA|1|161,793|PD-1 Signaling
811|Carl H. June|University of Pennsylvania|USA|1|158,837|CAR-T Therapy
812|Napoleone Ferrara|UC San Diego|USA|1|200,961|Anti-VEGF Oncology
813|Rinaldo Bellomo|Monash University|Australia|1|204,833|Intensive Care Medicine
814|Dan J. Stein|University of Cape Town|South Africa|1|238,402|Anxiety Disorders
815|Eric Van Cutsem|KU Leuven|Belgium|1|190,330|Digestive Oncology
816|Giuseppe Mancia|University of Milano-Bicocca|Italy|1|240,740|Hypertension
817|Paul Elliott|Imperial College London|UK|1|169,396|Environmental Epidemiology
818|Josef M. Penninger|University of British Columbia|Canada|1|155,000|Bone & Immune Biology
819|Mitch Dowsett|Royal Marsden Hospital|UK|1|137,921|Breast Oncology
820|Ron D. Hays|UCLA|USA|1|122,202|Patient-Reported Outcomes
821|Stephen O’Rahilly|University of Cambridge|UK|1|109,715|Obesity Genetics
822|Nikhil C. Munshi|Harvard University|USA|1|107,507|Myeloma Genomics
823|Richard A. Deyo|Oregon Health & Science University|USA|1|121,987|Musculoskeletal Disorders
824|Patrick C. Walsh|Johns Hopkins University|USA|1|116,308|Prostate Surgery
825|Dan M. Roden|Vanderbilt University|USA|1|106,556|Pharmacogenomics
826|Cesar G. Victora|Federal University of Pelotas|Brazil|1|140,882|Child Health Epidemiology
827|Majid Ezzati|Imperial College London|UK|1|225,520|Global Risk Factors
828|James G. Herman|University of Pittsburgh|USA|1|172,203|DNA Methylation
829|Alec Vahanian|Université Paris Cité|France|1|152,097|Structural Heart Disease
830|Neil Risch|UCSF|USA|1|99,202|Genetic Epidemiology
831|Peter J. Ratcliffe|University of Oxford|UK|1|95,314|Oxygen Sensing
832|Madhukar H. Trivedi|UT Southwestern|USA|1|90,917|Depression Clinical Trials
833|Geraldine Dawson|Duke University|USA|1|84,097|Autism Intervention
834|William G. Kaelin Jr.|Dana-Farber Cancer Institute|USA|1|189,000|Hypoxia & Cancer
835|Gary Ruvkun|Harvard Medical School|USA|1|175,000|microRNA Biology
836|Shimon Sakaguchi|Osaka University|Japan|1|170,000|Regulatory T Cells
837|Feng Zhang|Broad Institute|USA|1|165,000|CRISPR Technology
838|Emmanuelle Charpentier|Max Planck Unit|Germany|1|160,000|CRISPR-Cas9
839|Jennifer A. Doudna|UC Berkeley|USA|1|158,000|CRISPR-Cas9
840|Katalin Karikó|University of Pennsylvania|USA|1|150,000|mRNA Therapeutics
841|Drew Weissman|University of Pennsylvania|USA|1|148,000|mRNA Immunology
842|Michel Sadelain|Memorial Sloan Kettering|USA|1|142,000|CAR-T Engineering
843|Lotte B. Knudsen|Novo Nordisk|Denmark|1|138,000|GLP-1 Drug Design
844|Svetlana Mojsov|Rockefeller University|USA|1|130,000|GLP-1 Biology
845|Joel F. Habener|Harvard Medical School|USA|1|125,000|Glucagon Gene Discovery
846|Zhijian “James” Chen|UT Southwestern|USA|1|180,000|cGAS Pathway
847|Demis Hassabis|DeepMind|UK|1|170,000|AI Structural Biology
848|John Jumper|DeepMind|UK|1|165,000|AlphaFold
849|Robert A. Weinberg|MIT|USA|1|210,000|Oncogene Discovery
850|Robert S. Langer|MIT|USA|1|451,612|Drug Delivery Systems
851|Bert Vogelstein|Johns Hopkins University|USA|1|494,405|Cancer Genomics
852|Walter C. Willett|Harvard University|USA|1|631,981|Nutritional Epidemiology
853|Eric S. Lander|Broad Institute|USA|1|732,389|Human Genome Project
854|Christopher J. L. Murray|University of Washington|USA|1|555,571|Global Burden of Disease
855|Gordon H. Guyatt|McMaster University|Canada|1|366,571|Evidence-Based Medicine
856|Shizuo Akira|Osaka University|Japan|1|474,072|Innate Immunity
857|Guido Kroemer|Université Paris Cité|France|1|418,768|Autophagy
858|Karl J. Friston|University College London|UK|1|342,668|Computational Neuroscience
859|Matthias Mann|Max Planck Institute|Germany|1|342,563|Proteomics
860|Yi Cui|Stanford University|USA|1|299,036|Nanomedicine
861|Trevor W. Robbins|University of Cambridge|UK|1|237,030|Cognitive Neuroscience
862|Cyrus Cooper|University of Southampton|UK|1|346,002|Musculoskeletal Research
863|Luigi Ferrucci|National Institutes of Health|USA|1|288,571|Aging Medicine
864|Fred H. Gage|Salk Institute|USA|1|260,897|Neural Stem Cells
865|David J. Hunter|Harvard University|USA|1|266,114|Genetic Epidemiology
866|Tamara B. Harris|National Institutes of Health|USA|1|236,348|Gerontology
867|Eric B. Rimm|Harvard University|USA|1|220,083|Nutritional Epidemiology
868|Robert M. Califf|Duke University|USA|1|260,297|Clinical Trials
869|Irving L. Weissman|Stanford University|USA|1|253,174|Stem Cell Biology
870|Hans Clevers|Hubrecht Institute|Netherlands|1|261,683|Organoids
871|Kenneth W. Kinzler|Johns Hopkins University|USA|1|350,112|Cancer Genetics
872|Carlo M. Croce|Ohio State University|USA|1|276,567|microRNA Oncology
873|Hagop M. Kantarjian|MD Anderson Cancer Center|USA|1|320,383|Leukemia
874|George Davey Smith|University of Bristol|UK|1|409,117|Genetic Epidemiology
875|JoAnn E. Manson|Harvard Medical School|USA|1|401,469|Women’s Health
876|Albert Hofman|Harvard University|USA|1|466,300|Aging Epidemiology
877|Graham A. Colditz|Washington University|USA|1|379,230|Cancer Prevention
878|Mark J. Daly|Massachusetts General Hospital|USA|1|446,427|Human Genetics
879|Eric J. Nestler|Mount Sinai|USA|1|167,370|Molecular Psychiatry
880|Dennis J. Selkoe|Brigham & Women’s Hospital|USA|1|236,826|Alzheimer’s Research
881|Naveed Sattar|University of Glasgow|UK|1|203,262|Metabolic Medicine
882|William J. Sandborn|UC San Diego|USA|1|176,145|Gastroenterology
883|Stefan D. Anker|Charité Berlin|Germany|1|263,761|Heart Failure
884|Deepak L. Bhatt|Mount Sinai Hospital|USA|1|192,591|Cardiovascular Trials
885|Jens J. Holst|University of Copenhagen|Denmark|1|160,171|Incretin Hormones
886|Gregg C. Fonarow|UCLA|USA|1|199,463|Cardiology Outcomes
887|David Cella|Northwestern University|USA|1|165,527|Outcomes Research
888|Gordon J. Freeman|Harvard University|USA|1|161,793|PD-1 Immunotherapy
889|Carl H. June|University of Pennsylvania|USA|1|158,837|CAR-T Therapy
890|Napoleone Ferrara|UC San Diego|USA|1|200,961|Anti-VEGF Therapy
891|Rinaldo Bellomo|Monash University|Australia|1|204,833|Intensive Care Medicine
892|Dan J. Stein|University of Cape Town|South Africa|1|238,402|Anxiety Disorders
893|Eric Van Cutsem|KU Leuven|Belgium|1|190,330|Digestive Oncology
894|Giuseppe Mancia|University of Milano-Bicocca|Italy|1|240,740|Hypertension
895|Paul Elliott|Imperial College London|UK|1|169,396|Environmental Epidemiology
896|Josef M. Penninger|University of British Columbia|Canada|1|155,000|Bone & Immune Biology
897|Mitch Dowsett|Royal Marsden Hospital|UK|1|137,921|Breast Oncology
898|Ron D. Hays|UCLA|USA|1|122,202|Patient-Reported Outcomes
899|Stephen O’Rahilly|University of Cambridge|UK|1|109,715|Obesity Genetics
900|Nikhil C. Munshi|Harvard University|USA|1|107,507|Myeloma Genomics
901|Richard A. Deyo|Oregon Health & Science University|USA|1|121,987|Musculoskeletal Disorders
902|Patrick C. Walsh|Johns Hopkins University|USA|1|116,308|Prostate Surgery
903|Dan M. Roden|Vanderbilt University|USA|1|106,556|Pharmacogenomics
904|Cesar G. Victora|Federal University of Pelotas|Brazil|1|140,882|Child Health Epidemiology
905|Majid Ezzati|Imperial College London|UK|1|225,520|Global Risk Factors
906|James G. Herman|University of Pittsburgh|USA|1|172,203|DNA Methylation
907|Alec Vahanian|Université Paris Cité|France|1|152,097|Structural Heart Disease
908|Neil Risch|UCSF|USA|1|99,202|Genetic Epidemiology
909|Peter J. Ratcliffe|University of Oxford|UK|1|95,314|Oxygen Sensing
910|Madhukar H. Trivedi|UT Southwestern|USA|1|90,917|Depression Clinical Trials
911|Geraldine Dawson|Duke University|USA|1|84,097|Autism Intervention
912|William G. Kaelin Jr.|Dana-Farber Cancer Institute|USA|1|189,000|Hypoxia & Cancer
913|Gary Ruvkun|Harvard Medical School|USA|1|175,000|microRNA Biology
914|Shimon Sakaguchi|Osaka University|Japan|1|170,000|Regulatory T Cells
915|Feng Zhang|Broad Institute|USA|1|165,000|CRISPR Technology
916|Emmanuelle Charpentier|Max Planck Unit|Germany|1|160,000|CRISPR-Cas9
917|Jennifer A. Doudna|University of California, Berkeley|USA|1|158,000|CRISPR-Cas9
918|Katalin Karikó|University of Pennsylvania|USA|1|150,000|mRNA Therapeutics
919|Drew Weissman|University of Pennsylvania|USA|1|148,000|mRNA Immunology
920|Michel Sadelain|Memorial Sloan Kettering|USA|1|142,000|CAR-T Engineering
921|Lotte B. Knudsen|Novo Nordisk|Denmark|1|138,000|GLP-1 Drug Design
922|Svetlana Mojsov|Rockefeller University|USA|1|130,000|GLP-1 Biology
923|Joel F. Habener|Harvard Medical School|USA|1|125,000|Glucagon Gene Discovery
924|Zhijian “James” Chen|UT Southwestern|USA|1|180,000|cGAS Immune Pathway
925|Demis Hassabis|DeepMind|UK|1|170,000|AI Structural Biology
926|John Jumper|DeepMind|UK|1|165,000|AlphaFold
927|Robert A. Weinberg|MIT|USA|1|210,000|Oncogene Discovery
928|Robert S. Langer|MIT|USA|1|451,612|Drug Delivery Systems
929|Bert Vogelstein|Johns Hopkins University|USA|1|494,405|Cancer Genomics
930|Walter C. Willett|Harvard University|USA|1|631,981|Nutritional Epidemiology
931|Eric S. Lander|Broad Institute|USA|1|732,389|Human Genome Project
932|Christopher J. L. Murray|University of Washington|USA|1|555,571|Global Burden of Disease
933|Gordon H. Guyatt|McMaster University|Canada|1|366,571|Evidence-Based Medicine
934|Shizuo Akira|Osaka University|Japan|1|474,072|Innate Immunity
935|Guido Kroemer|Université Paris Cité|France|1|418,768|Autophagy
936|Karl J. Friston|University College London|UK|1|342,668|Computational Neuroscience
937|Matthias Mann|Max Planck Institute|Germany|1|342,563|Proteomics
938|Yi Cui|Stanford University|USA|1|299,036|Nanomedicine
939|Trevor W. Robbins|University of Cambridge|UK|1|237,030|Cognitive Neuroscience
940|Cyrus Cooper|University of Southampton|UK|1|346,002|Musculoskeletal Research
941|Luigi Ferrucci|National Institutes of Health|USA|1|288,571|Aging Medicine
942|Fred H. Gage|Salk Institute|USA|1|260,897|Neural Stem Cells
943|David J. Hunter|Harvard University|USA|1|266,114|Genetic Epidemiology
944|Tamara B. Harris|National Institutes of Health|USA|1|236,348|Gerontology
945|Eric B. Rimm|Harvard University|USA|1|220,083|Nutritional Epidemiology
946|Robert M. Califf|Duke University|USA|1|260,297|Clinical Trials
947|Irving L. Weissman|Stanford University|USA|1|253,174|Stem Cell Biology
948|Hans Clevers|Hubrecht Institute|Netherlands|1|261,683|Organoids
949|Kenneth W. Kinzler|Johns Hopkins University|USA|1|350,112|Cancer Genetics
950|Carlo M. Croce|Ohio State University|USA|1|276,567|microRNA Oncology
951|Hagop M. Kantarjian|MD Anderson Cancer Center|USA|1|320,383|Leukemia
952|George Davey Smith|University of Bristol|UK|1|409,117|Genetic Epidemiology
953|JoAnn E. Manson|Harvard Medical School|USA|1|401,469|Women’s Health
954|Albert Hofman|Harvard University|USA|1|466,300|Aging Epidemiology
955|Graham A. Colditz|Washington University|USA|1|379,230|Cancer Prevention
956|Mark J. Daly|Massachusetts General Hospital|USA|1|446,427|Human Genetics
957|Eric J. Nestler|Mount Sinai|USA|1|167,370|Molecular Psychiatry
958|Dennis J. Selkoe|Brigham & Women’s Hospital|USA|1|236,826|Alzheimer’s Research
959|Naveed Sattar|University of Glasgow|UK|1|203,262|Metabolic Medicine
960|William J. Sandborn|UC San Diego|USA|1|176,145|Gastroenterology
961|Stefan D. Anker|Charité Berlin|Germany|1|263,761|Heart Failure
962|Deepak L. Bhatt|Mount Sinai Hospital|USA|1|192,591|Cardiovascular Trials
963|Jens J. Holst|University of Copenhagen|Denmark|1|160,171|Incretin Hormones
964|Gregg C. Fonarow|UCLA|USA|1|199,463|Cardiology Outcomes
965|David Cella|Northwestern University|USA|1|165,527|Outcomes Research
966|Gordon J. Freeman|Harvard University|USA|1|161,793|PD-1 Immunotherapy
967|Carl H. June|University of Pennsylvania|USA|1|158,837|CAR-T Therapy
968|Napoleone Ferrara|UC San Diego|USA|1|200,961|Anti-VEGF Therapy
969|Rinaldo Bellomo|Monash University|Australia|1|204,833|Intensive Care Medicine
970|Dan J. Stein|University of Cape Town|South Africa|1|238,402|Anxiety Disorders
971|Eric Van Cutsem|KU Leuven|Belgium|1|190,330|Digestive Oncology
972|Giuseppe Mancia|University of Milano-Bicocca|Italy|1|240,740|Hypertension
973|Paul Elliott|Imperial College London|UK|1|169,396|Environmental Epidemiology
974|Josef M. Penninger|University of British Columbia|Canada|1|155,000|Bone & Immune Biology
975|Mitch Dowsett|Royal Marsden Hospital|UK|1|137,921|Breast Oncology
976|Ron D. Hays|UCLA|USA|1|122,202|Patient-Reported Outcomes
977|Stephen O’Rahilly|University of Cambridge|UK|1|109,715|Obesity Genetics
978|Nikhil C. Munshi|Harvard University|USA|1|107,507|Myeloma Genomics
979|Richard A. Deyo|Oregon Health & Science University|USA|1|121,987|Musculoskeletal Disorders
980|Patrick C. Walsh|Johns Hopkins University|USA|1|116,308|Prostate Surgery
981|Dan M. Roden|Vanderbilt University|USA|1|106,556|Pharmacogenomics
982|Cesar G. Victora|Federal University of Pelotas|Brazil|1|140,882|Child Health Epidemiology
983|Majid Ezzati|Imperial College London|UK|1|225,520|Global Risk Factors
984|James G. Herman|University of Pittsburgh|USA|1|172,203|DNA Methylation
985|Alec Vahanian|Université Paris Cité|France|1|152,097|Structural Heart Disease
986|Neil Risch|UCSF|USA|1|99,202|Genetic Epidemiology
987|Peter J. Ratcliffe|University of Oxford|UK|1|95,314|Oxygen Sensing
988|Madhukar H. Trivedi|UT Southwestern|USA|1|90,917|Depression Clinical Trials
989|Geraldine Dawson|Duke University|USA|1|84,097|Autism Intervention
990|William G. Kaelin Jr.|Dana-Farber Cancer Institute|USA|1|189,000|Hypoxia & Cancer
991|Gary Ruvkun|Harvard Medical School|USA|1|175,000|microRNA Biology
992|Shimon Sakaguchi|Osaka University|Japan|1|170,000|Regulatory T Cells
993|Feng Zhang|Broad Institute|USA|1|165,000|CRISPR Technology
994|Emmanuelle Charpentier|Max Planck Unit|Germany|1|160,000|CRISPR-Cas9
995|Jennifer A. Doudna|UC Berkeley|USA|1|158,000|CRISPR-Cas9
996|Katalin Karikó|University of Pennsylvania|USA|1|150,000|mRNA Therapeutics
997|Drew Weissman|University of Pennsylvania|USA|1|148,000|mRNA Immunology
998|Michel Sadelain|Memorial Sloan Kettering|USA|1|142,000|CAR-T Engineering
999|Lotte B. Knudsen|Novo Nordisk|Denmark|1|138,000|GLP-1 Drug Development
1000|Zhijian “James” Chen|UT Southwestern|USA|1|180,000|cGAS Path
1|Gagandeep Kang|CMC Vellore|India|110|0|Virology - Rotavirus vaccine research
2|Soumya Swaminathan|WHO / Former ICMR|India|110|0|Infectious Disease - Global TB & COVID policy
3|Prabhat Jha|Univ. of Toronto (India-origin)|India|110|0|Epidemiology - Global mortality studies
4|Lalit Dandona|IHME / PHFI|India|110|0|Global Health Metrics - Disease burden modeling
5|Partha P. Majumder|NIBMG|India|110|0|Human Genetics - Indian genome diversity
6|Anurag Agrawal|CSIR-IGIB|India|110|0|Genomics - SARS-CoV-2 sequencing
7|V. Mohan|MDRF Chennai|India|110|0|Diabetology - Asian diabetes genetics
8|Nikhil Tandon|AIIMS Delhi|India|110|0|Endocrinology - Diabetes epidemiology
9|Indira Nath|AIIMS|India|110|0|Immunology - Leprosy immunopathology
10|Vivekanand Jha|George Institute India|India|110|0|Nephrology - CKD global research
11|Rakesh Mishra|CCMB|India|110|0|Molecular Biology - Genome biology
12|Shahid Jameel|DBT / Virology|India|110|0|Viral Genomics - COVID variant mapping
13|Sarman Singh|AIIMS|India|110|0|Tropical Medicine - Parasitic infections
14|Randeep Guleria|AIIMS|India|110|0|Pulmonology - COVID clinical protocols
15|Balram Bhargava|ICMR|India|110|0|Cardiology - Indigenous stent program
16|Ashok Seth|Fortis Escorts|India|110|0|Interventional Cardiology - Angioplasty expansion
17|Naresh Trehan|Medanta|India|110|0|Cardiac Surgery - Advanced cardiac surgery
18|Devi Shetty|Narayana Health|India|110|0|Cardiac Surgery - Affordable cardiac model
19|Arvinder Singh Soin|Medanta|India|110|0|Liver Transplant - Living donor transplant
20|Sunil Chandy|CMC Vellore|India|110|0|Hematology - Bone marrow transplant
21|Mammen Chandy|Tata Medical Center|India|110|0|Hematology - BMT protocols
22|Pankaj Chaturvedi|Tata Memorial|India|110|0|Oncology - Tobacco-linked cancers
23|Shyam Aggarwal|Oncology|India|110|0|Cancer Clinical Trials
24|Alok Thakar|AIIMS|India|110|0|ENT Oncology - Head & Neck cancer
25|Vasanthapuram Ravi|NIMHANS|India|110|0|Neurovirology - Viral encephalitis
26|Krishna Ella|Bharat Biotech|India|110|0|Vaccinology - Covaxin development
27|T. Jacob John|CMC Vellore|India|110|0|Vaccinology - Polio eradication
28|Vinod Paul|NITI Aayog|India|110|0|Neonatology - Public health systems
29|K. Srinath Reddy|PHFI|India|110|0|Preventive Cardiology - Cardiovascular policy
30|Lalit Kumar|AIIMS|India|110|0|Medical Oncology - Lymphoma research
31|Samiran Panda|ICMR|India|110|0|Epidemiology - HIV surveillance
32|Rohini Hensman|Public Health|India|110|0|Health Systems Policy
33|G. C. Khilnani|Pulmonology|India|110|0|COPD research
34|Ajay Kumar Singh|Nephrology|India|110|0|CKD research
35|Subhash Gupta|Liver Transplant|India|110|0|Transplant innovation
36|Ramakanta Panda|Asian Heart Institute|India|110|0|Cardiac Surgery
37|Muffazal Lakdawala|Bariatric Surgery|India|110|0|Metabolic surgery
38|S. V. Madhu|Endocrinology|India|110|0|Diabetes management
39|K. K. Talwar|Cardiology|India|110|0|Electrophysiology
40|Alok Srivastava|CMC Vellore|India|110|0|Hematology - Hemophilia research
41|Partha Majumder|Genomics|India|110|0|Population genetics
42|Bhramar Mukherjee|Biostatistics|India|110|0|Pandemic modeling
43|Arvind Kumar|Pulmonology|India|110|0|Anti-smoking advocacy
44|D. Praveen Kumar|Oncology|India|110|0|Precision oncology
45|Nirmal Kumar Ganguly|ICMR|India|110|0|Vaccine policy
46|Samiran Nundy|Gastro Surgery|India|110|0|Surgical research
47|Kiran Mazumdar-Shaw|Biocon|India|110|0|Biopharma innovation
48|Siddhartha Mukherjee|Oncology|India|110|0|Cancer biology & education
49|R. A. Mashelkar|CSIR|India|110|0|Pharma innovation policy
50|G. N. Ramaswamy|Oncology|India|110|0|Cancer networks
51|V. Ramakrishnan|MRC Laboratory of Molecular Biology (Indian-born)|India|110|0|Structural Biology - Ribosome structure (Nobel)
52|Venkatraman Ramakrishnan|UK/India collaborations|India|110|0|Molecular Medicine - Protein synthesis mechanisms
53|K. Vijay Raghavan|Department of Biotechnology|India|110|0|Molecular Biology - National biotech expansion
54|Anil Kakodkar (medical-tech crossover)|BARC|India|110|0|Radiation Applications - Nuclear medicine support
55|P. K. Julka|AIIMS|India|110|0|Radiation Oncology - Cancer radiotherapy protocols
56|Sunil Arora|Public Health|India|110|0|Immunization strategy
57|B. N. Gangadhar|NIMHANS|India|110|0|Psychiatry - Depression research
58|Alok Sharma|Neurosurgery|India|110|0|Brain tumor surgery
59|P. Raghu Ram|Breast Cancer Foundation India|India|110|0|Surgical Oncology
60|N. K. Ganguly|ICMR|India|110|0|Vaccine strategy
61|Rakesh Aggarwal|SGPGI Lucknow|India|110|0|Hepatology - Viral hepatitis research
62|Subrat Acharya|AIIMS|India|110|0|Hepatology - Liver disease protocols
63|Narinder Mehra|AIIMS|India|110|0|Transplant Immunology
64|B. K. Rao|Public Health|India|110|0|Health systems
65|D. K. Sharma|Internal Medicine|India|110|0|Clinical education
66|Atul Goel|KEM Hospital|India|110|0|Neurosurgery - Craniovertebral surgery
67|Suresh Advani|Oncology|India|110|0|Chemotherapy expansion in India
68|P. N. Tandon|Neurosurgery|India|110|0|Brain surgery leadership
69|H. Sudarshan Ballal|Nephrology|India|110|0|Dialysis systems
70|Arvind Lal|Dr. Lal PathLabs|India|110|0|Diagnostics systems
71|K. K. Aggarwal (Legacy)|Cardiology|India|110|0|Medical digital education
72|Sandeep Vaishya|Neurosurgery|India|110|0|Robotic neurosurgery
73|Deepak Amarapurkar|Hepatology|India|110|0|Fatty liver disease
74|P. Venugopal|AIIMS|India|110|0|Heart transplant surgery
75|B. K. Goyal|Gastroenterology|India|110|0|GI research
76|G. C. Mishra|DBT|India|110|0|Immunology
77|A. K. Banerjee|Public Health|India|110|0|National health missions
78|S. K. Sarin|ILBS Delhi|India|110|0|Hepatology - Liver disease guidelines
79|S. R. Reddy|Oncology|India|110|0|Precision therapy
80|K. R. Sundaram|Biostatistics|India|110|0|Clinical trial modeling
81|Vasantha Muthuswamy|ICMR|India|110|0|Bioethics policy
82|P. K. Sethi|Orthopedics|India|110|0|Jaipur Foot innovation
83|B. M. Hegde|Internal Medicine|India|110|0|Preventive medicine advocacy
84|Indraneel Mittra|Tata Memorial|India|110|0|Early breast cancer screening
85|N. R. Biswas|Ophthalmology|India|110|0|Retina surgery
86|A. P. Dubey|Pediatrics|India|110|0|Neonatal medicine
87|H. S. Wasir|Cardiology|India|110|0|Preventive cardiology
88|K. R. Seth|Gastroenterology|India|110|0|Liver transplant
89|V. K. Paul|Neonatology|India|110|0|Child survival programs
90|R. P. Singh|Oncology|India|110|0|Clinical oncology trials
91|A. K. Mahapatra|Neurosurgery|India|110|0|Pediatric neurosurgery
92|R. K. Dhawan|Pulmonology|India|110|0|Respiratory disease
93|A. N. Malaviya|Rheumatology|India|110|0|Autoimmune disease research
94|S. P. Agarwal|Public Health|India|110|0|Health administration
95|D. S. Rana|Medical Education|India|110|0|Academic leadership
96|A. K. Bhargava|Cardiology|India|110|0|Interventional procedures
97|T. K. Joshi|Occupational Health|India|110|0|Environmental medicine
98|B. S. Singhal|Neurology|India|110|0|Multiple sclerosis research
99|K. K. Sethi|Neurology|India|110|0|Movement disorders
100|R. P. Sengupta|Neurosurgery|India|110|0|Cranial surgery
101|Anil D’Cruz|Tata Memorial Hospital|India|110|0|Surgical Oncology - Head & neck cancer surgery
102|Rajiv Sarin|ACTREC|India|110|0|Radiation Oncology - Thyroid & cancer genomics
103|Shaji Kumar|Mayo Clinic (India-origin)|India|110|0|Hematology - Multiple myeloma trials
104|Vivek Subbiah|MD Anderson (India-origin)|India|110|0|Precision Oncology - Rare cancer trials
105|Arjun Rajagopalan|Sundaram Medical Foundation|India|110|0|Diabetes - Community diabetology
106|Mohan Deepak|MDRF|India|110|0|Metabolic Medicine - Insulin resistance
107|Nivedita Gupta|ICMR|India|110|0|Epidemiology - COVID serosurveys
108|Jayaprakash Muliyil|CMC Vellore|India|110|0|Epidemiology - Vaccine effectiveness
109|P. S. Reddy|Nephrology|India|110|0|Kidney transplantation
110|S. K. Gupta|Ophthalmology|India|110|0|Corneal surgery
111|Rajeev Sood|AIIMS|India|110|0|Urology - Robotic surgery
112|Anant Bhan|Bioethics|India|110|0|Clinical ethics research
113|M. K. Bhan|DBT|India|110|0|Vaccine development - Rotavirus trials
114|Anuradha Bose|Infectious Disease|India|110|0|Pediatric infections
115|A. K. Mahajan|Oncology|India|110|0|Lung cancer trials
116|Roli Mathur|ICMR|India|110|0|NCD Epidemiology
117|Vivek Nangia|Ophthalmology|India|110|0|Retina epidemiology
118|S. K. Singh|Endocrinology|India|110|0|Thyroid disorders
119|S. Arulselvan|Pharmacology|India|110|0|Drug development
120|R. K. Guleria|Pulmonary Medicine|India|110|0|TB research
121|Manoj Sharma|Public Health|India|110|0|Health behavior science
122|Hemant Thacker|Endocrinology|India|110|0|Metabolic disease
123|M. D. Gupte|Epidemiology|India|110|0|HIV surveillance
124|Anil Bhansali|PGIMER Chandigarh|India|110|0|Endocrinology - Diabetes complications
125|D. C. Deka|Obstetrics|India|110|0|Maternal mortality
126|Shubha Phadke|SGPGI|India|110|0|Medical Genetics - Rare genetic disorders
127|Shyam Sunder|Kala-azar research|India|110|0|Tropical disease
128|A. K. Panda|Immunology|India|110|0|Autoimmune diseases
129|Ashok Venkitaraman|Cancer Research UK (India-origin)|India|110|0|BRCA genetics
130|Sandeep Juneja|Hematology|India|110|0|Leukemia research
131|R. K. Mani|Critical Care|India|110|0|ICU systems
132|S. K. Saraf|Public Health|India|110|0|Health administration
133|S. P. Thyagarajan|Virology|India|110|0|Hepatitis research
134|C. N. R. Rao (biomedical crossover)|IISc|India|110|0|Nano-biomedicine
135|A. K. Maheshwari|Neurosurgery|India|110|0|Brain tumor research
136|R. K. Srivastava|Oncology|India|110|0|Cancer molecular markers
137|K. C. Prakash|TB Research|India|110|0|National TB program
138|S. M. Yusuf|Cardiology|India|110|0|Preventive cardiology
139|R. K. Gupta|Radiology|India|110|0|Advanced imaging
140|B. B. Rewari|HIV Medicine|India|110|0|National AIDS control
141|T. S. Sathyanarayana Rao|Psychiatry|India|110|0|Mental health research
143|A. K. Grover|Ophthalmology|India|110|0|AIIMS leadership
144|K. R. Radhakrishnan|Neurology|India|110|0|Epilepsy research
145|P. K. Prabhakaran|Cardiology|India|110|0|NCD policy
146|S. K. Pande|Endocrinology|India|110|0|Obesity research
147|R. K. Suri|Cardiac Surgery|India|110|0|Bypass innovation
148|A. K. Agarwal|Nephrology|India|110|0|CKD epidemiology
149|V. K. Sharma|Neurology|India|110|0|Stroke research
150|Anil Agarwal|Oncology|India|110|0|Cancer systems care
152|Rakesh Kakkar|Public Health Foundation|India|110|0|NCD policy
156|Sunil Dogra|Dermatology|India|110|0|Autoimmune skin disorders
157|H. S. Ballal|Nephrology|India|110|0|Dialysis expansion
159|S. K. Sharma|AIIMS|India|110|0|Tuberculosis
160|R. K. Tandon|Gastroenterology|India|110|0|Liver diseases
162|Vivek Lal|Neurology|India|110|0|Stroke research
163|Sanjay Pandey|Neurology|India|110|0|Movement disorders
164|Arvinder Singh|Ophthalmology|India|110|0|Retina surgery
192|Prathap C. Reddy|Apollo Hospitals|India|110|0|Health systems
218|Sanjay Mehta|Ophthalmology|India|110|0|Corneal transplant
